"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Handlebars", "Markdown", "comment", "blank", "total"
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\mailer\templates\confirmation.hbs", "Handlebars", 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\mailer\templates\mailtemps.hbs", "Handlebars", 0, 0, 0, 0, 508, 0, 0, 22, 530
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\orm.config.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 9, 2, 27
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\scripts\write-type-orm-config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesLocation\devicesLocation.controller.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 8, 54
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesLocation\devicesLocation.dto.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesLocation\devicesLocation.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesLocation\devicesLocation.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 9, 65
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesTypes\devicesTypes.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 9, 54
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesTypes\devicesTypes.dto.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesTypes\devicesTypes.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\devicesTypes\devicesTypes.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 9, 65
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\irrigationTypes\irrigationTypes.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 8, 53
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\irrigationTypes\irrigationTypes.dto.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 8, 67
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\irrigationTypes\irrigationTypes.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\irrigationTypes\irrigationTypes.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 10, 66
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\modemImeriRecords\modemImeiRecords.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 8, 53
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\modemImeriRecords\modemImeiRecords.dto.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 8, 68
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\modemImeriRecords\modemImeiRecords.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\modemImeriRecords\modemImeiRecords.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 11, 67
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\plants\plants.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 9, 54
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\plants\plants.dto.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 6, 71
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\plants\plants.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\plants\plants.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 10, 66
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\simCards\simCards.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\simCards\simCards.dto.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 7, 78
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\simCards\simCards.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\externalUnits\simCards\simCards.service.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 4, 11, 67
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gateway.controller.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 10, 65
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gateway.dto.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 6, 109
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gateway.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gateway.service.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 4, 12, 82
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayFields\gatewayFields.controller.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 9, 66
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayFields\gatewayFields.dto.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 10, 83
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayFields\gatewayFields.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayFields\gatewayFields.service.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 4, 12, 77
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayKhasConditions\gatewayKhasConditions.controller.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 8, 63
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayKhasConditions\gatewayKhasConditions.dto.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 9, 91
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayKhasConditions\gatewayKhasConditions.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayKhasConditions\gatewayKhasConditions.service.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 4, 10, 77
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gatewayLogs\gatewayLogs.controller.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 9, 64
